strain	date	country	continent
PV459789.1	2024-02-06	Brazil	South America
PV459790.1	2024-02-06	Brazil	South America
PV459791.1	2024-02-06	Brazil	South America
PV459792.1	2024-02-06	Brazil	South America
PV459793.1	2024-02-06	Brazil	South America
PV459794.1	2024-02-06	Brazil	South America
PV459795.1	2024-02-06	Brazil	South America
PV459796.1	2024-02-06	Brazil	South America
PV459797.1	2024-02-06	Brazil	South America
PV459798.1	2024-02-06	Brazil	South America
PV459799.1	2024-02-06	Brazil	South America
PV459800.1	2024-02-06	Brazil	South America
PV459801.1	2024-02-06	Brazil	South America
PV459802.1	2024-02-06	Brazil	South America
PV459803.1	2024-02-06	Brazil	South America
PV459804.1	2024-02-06	Brazil	South America
PV459805.1	2024-02-06	Brazil	South America
PV459806.1	2024-02-15	Brazil	South America
PV459807.1	2024-02-15	Brazil	South America
PV459808.1	2024-02-15	Brazil	South America
PV459809.1	2024-02-15	Brazil	South America
PV459810.1	2024-02-15	Brazil	South America
PV459811.1	2024-02-15	Brazil	South America
PV459812.1	2024-02-16	Brazil	South America
PV459813.1	2024-02-16	Brazil	South America
PV459814.1	2024-02-16	Brazil	South America
PV459815.1	2024-02-19	Brazil	South America
PV459816.1	2024-02-19	Brazil	South America
PV459817.1	2024-02-19	Brazil	South America
PV459818.1	2024-02-20	Brazil	South America
PV459819.1	2024-02-20	Brazil	South America
PV459820.1	2024-02-20	Brazil	South America
PV459821.1	2024-02-21	Brazil	South America
PV459822.1	2024-02-21	Brazil	South America
PV459823.1	2024-02-21	Brazil	South America
PV459824.1	2024-02-21	Brazil	South America
PV459825.1	2024-02-21	Brazil	South America
PV459826.1	2024-02-21	Brazil	South America
PV459827.1	2024-02-22	Brazil	South America
PV459828.1	2024-02-22	Brazil	South America
PV459829.1	2024-02-22	Brazil	South America
PV459830.1	2024-02-23	Brazil	South America
PV459831.1	2024-02-23	Brazil	South America
PV459832.1	2024-02-23	Brazil	South America
PV459833.1	2024-02-23	Brazil	South America
PV459834.1	2024-02-23	Brazil	South America
PV459835.1	2024-02-23	Brazil	South America
PV459836.1	2024-01-19	Brazil	South America
PV459837.1	2024-01-19	Brazil	South America
PV459838.1	2024-01-19	Brazil	South America
PV459839.1	2024-01-19	Brazil	South America
PV459840.1	2024-01-19	Brazil	South America
PV459841.1	2024-01-19	Brazil	South America
PV459842.1	2024-01-19	Brazil	South America
PV459843.1	2024-01-19	Brazil	South America
PV459844.1	2024-01-19	Brazil	South America
PV459845.1	2024-01-19	Brazil	South America
PV459846.1	2024-01-19	Brazil	South America
PV459847.1	2024-01-19	Brazil	South America
PV459848.1	2024-01-22	Brazil	South America
PV459849.1	2024-01-22	Brazil	South America
PV459850.1	2024-01-22	Brazil	South America
PV459851.1	2024-01-22	Brazil	South America
PV459852.1	2024-01-22	Brazil	South America
PV459853.1	2024-01-22	Brazil	South America
PV459854.1	2024-01-22	Brazil	South America
PV459855.1	2024-01-22	Brazil	South America
PV459856.1	2024-01-22	Brazil	South America
PV459857.1	2024-01-23	Brazil	South America
PV459858.1	2024-01-23	Brazil	South America
PV459859.1	2024-01-23	Brazil	South America
PV459860.1	2024-01-23	Brazil	South America
PV459861.1	2024-01-23	Brazil	South America
PV459862.1	2024-01-23	Brazil	South America
PV459863.1	2024-01-23	Brazil	South America
PV459864.1	2024-01-23	Brazil	South America
PV459865.1	2024-01-23	Brazil	South America
PV459866.1	2024-01-23	Brazil	South America
PV459867.1	2024-01-23	Brazil	South America
PV459868.1	2024-01-23	Brazil	South America
PV459869.1	2024-01-25	Brazil	South America
PV459870.1	2024-01-25	Brazil	South America
PV459871.1	2024-01-25	Brazil	South America
PV459872.1	2024-01-25	Brazil	South America
PV459873.1	2024-01-25	Brazil	South America
PV459874.1	2024-01-25	Brazil	South America
PV459875.1	2024-01-26	Brazil	South America
PV459876.1	2024-01-26	Brazil	South America
PV459877.1	2024-01-26	Brazil	South America
PV459878.1	2024-01-26	Brazil	South America
PV459879.1	2024-01-26	Brazil	South America
PV459880.1	2024-01-26	Brazil	South America
PV459881.1	2024-01-29	Brazil	South America
PV459882.1	2024-01-29	Brazil	South America
PV459883.1	2024-01-29	Brazil	South America
PV459884.1	2024-01-29	Brazil	South America
PV459885.1	2024-01-29	Brazil	South America
PV459886.1	2024-01-29	Brazil	South America
PV459887.1	2024-01-29	Brazil	South America
PV459888.1	2024-01-29	Brazil	South America
PV459889.1	2024-01-29	Brazil	South America
PV459890.1	2024-01-29	Brazil	South America
PV459891.1	2024-01-29	Brazil	South America
PV459892.1	2024-01-29	Brazil	South America
PV459893.1	2024-01-29	Brazil	South America
PV459894.1	2024-01-29	Brazil	South America
PV459895.1	2024-01-29	Brazil	South America
PV459896.1	2024-01-29	Brazil	South America
PV459897.1	2024-01-29	Brazil	South America
PV459898.1	2024-01-29	Brazil	South America
PV459899.1	2024-01-29	Brazil	South America
PV459900.1	2024-01-29	Brazil	South America
PV459901.1	2024-01-29	Brazil	South America
PV459902.1	2024-01-29	Brazil	South America
PV459903.1	2024-01-29	Brazil	South America
PV459904.1	2024-01-29	Brazil	South America
PV459905.1	2024-01-30	Brazil	South America
PV459906.1	2024-01-30	Brazil	South America
PV459907.1	2024-01-30	Brazil	South America
PV459908.1	2024-01-30	Brazil	South America
PV459909.1	2024-01-30	Brazil	South America
PV459910.1	2024-01-30	Brazil	South America
PV459911.1	2024-01-30	Brazil	South America
PV459912.1	2024-01-30	Brazil	South America
PV459913.1	2024-01-30	Brazil	South America
